meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
279,20250501,202505,2025-05-01,2,4,SUPERFICIE,900.0,0.0
280,20250501,202505,2025-05-01,10,51,MINA,1600.0,0.0
281,20250501,202505,2025-05-01,10,48,SUPERFICIE,750.0,0.0
282,20250501,202505,2025-05-01,10,45,MINA,900.0,0.0
283,20250501,202505,2025-05-01,14,68,MINA,1150.0,0.0
284,20250501,202505,2025-05-01,14,69,MINA,1150.0,0.0
285,20250501,202505,2025-05-01,14,67,MINA,1150.0,0.0
286,20250501,202505,2025-05-01,15,73,MINA,900.0,0.0
287,20250501,202505,2025-05-01,15,72,MINA,835.0,0.0
288,20250501,202505,2025-05-01,15,71,MINA,900.0,0.0
289,20250501,202505,2025-05-01,15,70,MINA,900.0,0.0
290,20250501,202505,2025-05-01,20,89,MINA,1150.0,0.0
291,20250501,202505,2025-05-01,20,90,MINA,1150.0,0.0
292,20250501,202505,2025-05-01,20,87,MINA,1150.0,0.0
293,20250701,202507,2025-07-01,4,18,MINA,750.0,0.0
294,20250701,202507,2025-07-01,4,19,MINA,750.0,0.0
295,20250701,202507,2025-07-01,4,17,MINA,750.0,0.0
296,20250701,202507,2025-07-01,4,15,MINA,750.0,0.0
297,20250701,202507,2025-07-01,4,21,MINA,750.0,0.0
298,20250601,202506,2025-06-01,1,2,MINA,1100.0,0.0
299,20250601,202506,2025-06-01,1,3,MINA,1100.0,0.0
300,20250601,202506,2025-06-01,13,65,MINA,850.0,0.0
301,20250601,202506,2025-06-01,13,64,MINA,850.0,0.0
302,20250601,202506,2025-06-01,8,40,MINA,1050.0,0.0
303,20250601,202506,2025-06-01,8,43,MINA,1050.0,0.0
304,20250601,202506,2025-06-01,8,42,MINA,1050.0,0.0
305,20250601,202506,2025-06-01,8,41,MINA,1050.0,0.0
306,20250601,202506,2025-06-01,8,34,MINA,1050.0,0.0
307,20250601,202506,2025-06-01,11,52,SUPERFICIE,760.0,0.0
308,20250601,202506,2025-06-01,9,44,MINA,1050.0,0.0
309,20250601,202506,2025-06-01,16,74,SUPERFICIE,900.0,0.0
310,20250601,202506,2025-06-01,16,76,MINA,900.0,0.0
311,20250601,202506,2025-06-01,16,75,MINA,1000.0,0.0
312,20250601,202506,2025-06-01,16,77,MINA,1000.0,0.0
313,20250601,202506,2025-06-01,12,54,SUPERFICIE,800.0,0.0
