equipo_sk,equipo_cd,codigo_sap,modelo_fabricante,fabricante,tipo_servicio,tipo_energia,horas_dia_planeadas,contrato_sk_asignado,estado_operativo
70,XRD150U-005,SAP-XRD150U-005,XRD150U-005,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,15,OPERATIVO
71,XRD150UBT-001,SAP-XRD150UBT-001,XRD150UBT-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,15,OPERATIVO
72,XRD90USS-001,SAP-XRD90USS-001,XRD90USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,15,OPERATIVO
73,XRD90USS-004,SAP-XRD90USS-004,XRD90USS-004,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,15,OPERATIVO
74,DE710ST-002,SAP-DE710ST-002,DE710ST-002,ROCKDRILL,SUPERFICIE,DIESEL,24,16,OPERATIVO
75,XRD150U-002,SAP-XRD150U-002,XRD150U-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,16,OPERATIVO
76,XRD150U-007,SAP-XRD150U-007,XRD150U-007,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,16,OPERATIVO
77,XRD150USS-001,SAP-XRD150USS-001,XRD150USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,16,OPERATIVO
78,DE710ST-001,SAP-DE710ST-001,DE710ST-001,ROCKDRILL,SUPERFICIE,DIESEL,24,17,OPERATIVO
79,XRD150U-012,SAP-XRD150U-012,XRD150U-012,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,17,OPERATIVO
80,XRD90U-004,SAP-XRD90U-004,XRD90U-004,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,17,OPERATIVO
81,XRD90U-010,SAP-XRD90U-010,XRD90U-010,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,17,OPERATIVO
82,XRD90U-023,SAP-XRD90U-023,XRD90U-023,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,17,OPERATIVO
83,DE710ST-002,SAP-DE710ST-002,DE710ST-002,ROCKDRILL,SUPERFICIE,DIESEL,24,18,OPERATIVO
84,XRD150U-009,SAP-XRD150U-009,XRD150U-009,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,18,OPERATIVO
85,XRD150U-007,SAP-XRD150U-007,XRD150U-007,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,19,OPERATIVO
86,XRD150USS-001,SAP-XRD150USS-001,XRD150USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,19,OPERATIVO
87,XRD125USS-001,SAP-XRD125USS-001,XRD125USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,20,OPERATIVO
88,XRD50USS-001,SAP-XRD50USS-001,XRD50USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,20,OPERATIVO
89,XRD50USS-003,SAP-XRD50USS-003,XRD50USS-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,20,OPERATIVO
90,XRD50USS-00T,SAP-XRD50USS-00T,XRD50USS-00T,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,20,OPERATIVO
91,XRD150U-011,SAP-XRD150U-011,XRD150U-011,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,21,OPERATIVO
92,XRD150USS,SAP-XRD150USS,XRD150USS,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,21,OPERATIVO
93,XRD150USS-001,SAP-XRD150USS-001,XRD150USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,21,OPERATIVO
94,XRD150USS-002,SAP-XRD150USS-002,XRD150USS-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,21,OPERATIVO
95,XRD90USS-005,SAP-XRD90USS-005,XRD90USS-005,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,21,OPERATIVO
