hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
2351,20260826,15,72,55,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-B
2352,20260826,15,72,58,B,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-B
2353,20260826,15,72,59,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-B
2354,20260826,15,72,60,B,8.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-001-B
2355,20260827,15,72,1,A,4.0,True,Tiempo Efectivo - Operativo,20260827-RAURA-XRD90USS-001-A
2356,20260827,15,72,5,A,0.5,False,Mantenimiento,20260827-RAURA-XRD90USS-001-A
2357,20260827,15,72,8,A,0.5,True,Stand By Operativo,20260827-RAURA-XRD90USS-001-A
2358,20260827,15,72,9,A,0.5,True,Stand By Operativo,20260827-RAURA-XRD90USS-001-A
2359,20260827,15,72,47,A,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-A
2360,20260827,15,72,55,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-A
2361,20260827,15,72,58,A,2.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-A
2362,20260827,15,72,59,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-A
2363,20260827,15,72,70,A,2.0,True,Stand By Cliente,20260827-RAURA-XRD90USS-001-A
2364,20260827,15,72,1,B,5.0,True,Tiempo Efectivo - Operativo,20260827-RAURA-XRD90USS-001-B
2365,20260827,15,72,5,B,0.5,False,Mantenimiento,20260827-RAURA-XRD90USS-001-B
2366,20260827,15,72,8,B,0.5,True,Stand By Operativo,20260827-RAURA-XRD90USS-001-B
2367,20260827,15,72,9,B,1.5,True,Stand By Operativo,20260827-RAURA-XRD90USS-001-B
2368,20260827,15,72,47,B,0.5,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-B
2369,20260827,15,72,55,B,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-B
2370,20260827,15,72,58,B,2.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-B
2371,20260827,15,72,59,B,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-001-B
2372,20260828,15,72,1,A,5.0,True,Tiempo Efectivo - Operativo,20260828-RAURA-XRD90USS-001-A
2373,20260828,15,72,5,A,0.5,False,Mantenimiento,20260828-RAURA-XRD90USS-001-A
2374,20260828,15,72,6,A,0.5,False,Mantenimiento,20260828-RAURA-XRD90USS-001-A
2375,20260828,15,72,7,A,0.5,True,Stand By Operativo,20260828-RAURA-XRD90USS-001-A
2376,20260828,15,72,9,A,0.5,True,Stand By Operativo,20260828-RAURA-XRD90USS-001-A
2377,20260828,15,72,47,A,0.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-A
2378,20260828,15,72,48,A,0.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-A
2379,20260828,15,72,55,A,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-A
2380,20260828,15,72,58,A,2.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-A
2381,20260828,15,72,59,A,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-A
2382,20260828,15,72,1,B,1.5,True,Tiempo Efectivo - Operativo,20260828-RAURA-XRD90USS-001-B
2383,20260828,15,72,9,B,1.0,True,Stand By Operativo,20260828-RAURA-XRD90USS-001-B
2384,20260828,15,72,18,B,1.5,True,Stand By Operativo,20260828-RAURA-XRD90USS-001-B
2385,20260828,15,72,47,B,0.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-B
2386,20260828,15,72,50,B,1.5,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-B
2387,20260828,15,72,52,B,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-B
2388,20260828,15,72,55,B,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-B
2389,20260828,15,72,58,B,2.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-B
2390,20260828,15,72,59,B,1.0,False,Stand By Inoperativo,20260828-RAURA-XRD90USS-001-B
2391,20260828,15,72,70,B,1.0,True,Stand By Cliente,20260828-RAURA-XRD90USS-001-B
2392,20260829,15,72,1,A,1.5,True,Tiempo Efectivo - Operativo,20260829-RAURA-XRD90USS-001-A
2393,20260829,15,72,5,A,0.5,False,Mantenimiento,20260829-RAURA-XRD90USS-001-A
2394,20260829,15,72,9,A,0.5,True,Stand By Operativo,20260829-RAURA-XRD90USS-001-A
2395,20260829,15,72,11,A,2.5,True,Stand By Operativo,20260829-RAURA-XRD90USS-001-A
2396,20260829,15,72,20,A,2.0,True,Stand By Operativo,20260829-RAURA-XRD90USS-001-A
2397,20260829,15,72,47,A,0.5,False,Stand By Inoperativo,20260829-RAURA-XRD90USS-001-A
